step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,598.4,787.7,0.0,0.0,180.0,D4D3,0,157.35,476.85,0,-1
1,legit_0,598.4,786.03,1.6654,1.6654,180.0,D4D3,0,157.91,476.4,0,-1
2,legit_0,598.4,782.0,4.0297,2.3644,180.0,D4D3,0,159.33,475.32,0,-1
3,legit_0,598.4,775.4,6.6083,2.5786,180.0,D4D3,0,161.85,473.61,0,-1
4,legit_0,598.4,766.36,9.0391,2.4308,180.0,D4D3,0,165.67,471.36,0,-1
5,legit_0,598.4,754.86,11.4996,2.4604,180.0,D4D3,0,171.09,468.68,0,-1
6,legit_0,598.4,742.17,12.6851,1.1856,180.0,D4D3,0,177.74,465.93,0,-1
6,legit_1,201.6,812.3,0.0,0.0,0.0,B4B5,0,58.56,595.18,0,-1
7,legit_0,598.4,728.54,13.634,0.9488,180.0,D4D3,0,185.6,463.23,0,-1
7,legit_1,201.6,814.28,1.9814,1.9814,0.0,B4B5,0,57.65,595.72,0,-1
7,sybil_20,812.0,-1.6,5.7021,0.0,90.0,E0F0,0,136.49,733.89,1,5
8,legit_0,598.4,714.73,13.8111,0.1772,180.0,D4D3,0,187.58,460.75,0,-1
8,legit_1,201.6,818.47,4.1883,2.2069,0.0,B4B5,0,55.91,596.88,0,-1
8,sybil_20,813.99,-1.6,9.3178,3.6157,90.0,E0F0,0,137.41,734.41,1,5
9,legit_0,598.4,701.39,13.3404,-0.4708,180.0,D4D3,0,179.73,458.61,0,-1
9,legit_1,201.6,823.99,5.52,1.3317,0.0,B4B5,0,54.03,598.46,0,-1
9,sybil_20,817.42,-1.6,0.0,-9.3178,90.0,E0F0,0,139.04,735.31,1,5
10,legit_0,598.4,687.79,13.6011,0.2607,180.0,D4D3,0,172.42,456.69,0,-1
10,legit_1,201.6,831.32,7.3298,1.8098,0.0,B4B5,0,52.33,600.65,0,-1
10,sybil_20,823.28,-1.6,5.1835,5.1835,90.0,E0F0,1,141.97,736.89,1,5
10,sybil_21,823.28,-1.6,5.368,0.0,90.0,E0F0,1,141.97,736.89,1,5
11,legit_0,598.4,674.03,13.7596,0.1586,180.0,D4D3,0,165.84,455.0,0,-1
11,legit_1,201.6,840.09,8.7707,1.4409,0.0,B4B5,0,51.6,603.39,0,-1
11,sybil_10,811.4,998.4,0.0,0.0,90.0,E5F5,0,102.12,595.78,1,2
11,sybil_20,831.14,-1.6,5.8763,0.6929,90.0,E0F0,1,146.19,739.07,1,5
11,sybil_21,831.14,-1.6,0.0,-5.368,90.0,E0F0,1,146.19,739.07,1,5
12,legit_0,598.4,660.44,13.5841,-0.1755,180.0,D4D3,0,160.24,453.61,0,-1
12,legit_1,201.6,851.03,10.935,2.1643,0.0,B4B5,0,52.76,607.02,0,-1
12,legit_2,812.3,198.4,0.0,0.0,90.0,E1F1,0,100.14,597.8,0,-1
12,sybil_10,812.78,998.4,8.6735,8.6735,90.0,E5F5,0,102.96,596.19,1,2
12,sybil_20,840.7,-1.6,5.1249,-0.7515,90.0,E0F0,2,151.7,741.81,1,5
12,sybil_21,840.7,-1.6,1.4249,1.4249,90.0,E0F0,2,151.7,741.81,1,5
12,sybil_22,840.7,-1.6,0.0,0.0,90.0,E0F0,2,151.7,741.81,1,5
13,legit_0,598.4,647.52,12.9191,-0.665,180.0,D4D3,0,155.82,452.53,0,-1
13,legit_1,201.6,863.92,12.8993,1.9643,0.0,B4B5,0,56.88,611.57,0,-1
13,legit_2,813.81,198.4,1.5146,1.5146,90.0,E1F1,0,101.09,598.26,0,-1
13,sybil_10,815.85,998.4,0.0,-8.6735,90.0,E5F5,0,104.86,597.12,1,2
13,sybil_20,852.16,-1.6,25.8478,20.7229,90.0,E0F0,2,158.82,745.23,1,5
13,sybil_21,852.16,-1.6,8.5908,7.1659,90.0,E0F0,2,158.82,745.23,1,5
13,sybil_22,852.16,-1.6,4.55,4.55,90.0,E0F0,2,158.82,745.23,1,5
14,legit_0,598.4,633.75,13.7728,0.8537,180.0,D4D3,0,152.19,451.66,0,-1
14,legit_1,201.6,875.87,11.9422,-0.9572,0.0,B4B5,0,62.84,616.02,0,-1
14,legit_2,817.51,198.4,3.6955,2.181,90.0,E1F1,0,103.46,599.38,0,-1
14,sybil_10,820.64,998.4,1.3916,1.3916,90.0,E5F5,1,107.93,598.58,1,2
14,sybil_11,820.64,998.4,6.5951,0.0,90.0,E5F5,1,107.93,598.58,1,2
14,sybil_20,865.75,-1.6,4.396,-21.4518,90.0,E0F0,2,167.89,749.48,1,5
14,sybil_21,865.75,-1.6,9.1267,0.5359,90.0,E0F0,2,167.89,749.48,1,5
14,sybil_22,865.75,-1.6,3.7533,-0.7968,90.0,E0F0,2,167.89,749.48,1,5
15,legit_0,598.4,620.18,13.5721,-0.2007,180.0,D4D3,0,149.77,451.09,0,-1
