step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,401.6,0.0,0.0,270.0,E2D2,0,56.14,503.55,0,-1
1,legit_0,785.52,401.6,2.1817,2.1817,270.0,E2D2,0,54.7,502.91,0,-1
2,legit_0,780.9,401.6,4.6221,2.4405,270.0,E2D2,0,51.82,501.6,0,-1
3,legit_0,774.1,401.6,6.7966,2.1745,270.0,E2D2,0,48.08,499.73,0,-1
4,legit_0,765.91,401.6,8.1917,1.3951,270.0,E2D2,0,44.54,497.6,0,-1
5,legit_0,756.32,401.6,9.586,1.3944,270.0,E2D2,0,42.08,495.28,0,-1
6,legit_0,744.69,401.6,11.6307,2.0446,270.0,E2D2,0,41.94,492.75,0,-1
6,legit_1,412.3,598.4,0.0,0.0,90.0,C3D3,0,37.73,474.54,0,-1
7,legit_0,731.21,401.6,13.4848,1.8541,270.0,E2D2,0,45.65,490.21,0,-1
7,legit_1,413.62,598.4,1.3189,1.3189,90.0,C3D3,0,36.42,474.13,0,-1
8,legit_0,717.82,401.6,13.3908,-0.094,270.0,E2D2,0,52.6,488.05,0,-1
8,legit_1,417.44,598.4,3.819,2.5001,90.0,C3D3,0,32.6,472.94,0,-1
9,legit_0,704.14,401.6,13.6795,0.2887,270.0,E2D2,0,61.92,486.17,0,-1
9,legit_1,423.52,598.4,6.0859,2.2669,90.0,C3D3,0,26.52,471.09,0,-1
10,legit_0,691.26,401.6,12.8726,-0.8068,270.0,E2D2,0,71.98,484.66,0,-1
10,legit_1,431.4,598.4,7.8763,1.7904,90.0,C3D3,0,18.67,468.75,0,-1
11,legit_0,677.85,401.6,13.4167,0.5441,270.0,E2D2,0,83.29,483.32,0,-1
11,legit_1,441.52,598.4,10.115,2.2387,90.0,C3D3,0,8.63,465.85,0,-1
12,legit_0,664.89,401.6,12.9612,-0.4555,270.0,E2D2,0,94.74,482.25,0,-1
12,legit_1,454.22,598.4,12.7022,2.5872,90.0,C3D3,0,4.51,462.81,0,-1
12,legit_2,601.6,812.3,0.0,0.0,0.0,D4D5,0,150.96,484.0,0,-1
13,legit_0,651.68,401.6,13.202,0.2408,270.0,E2D2,0,106.76,481.36,0,-1
13,legit_1,466.97,598.4,12.7513,0.0491,90.0,C3D3,0,17.04,460.78,0,-1
13,legit_2,601.6,814.81,2.5069,2.5069,0.0,D4D5,0,150.52,484.78,0,-1
14,legit_0,638.98,401.6,12.701,-0.501,270.0,E2D2,0,118.56,480.71,0,-1
14,legit_1,479.49,598.4,12.5233,-0.228,90.0,C3D3,0,29.54,458.97,0,-1
14,legit_2,601.6,819.43,4.6246,2.1177,0.0,D4D5,0,149.82,486.24,0,-1
15,legit_0,626.12,401.6,12.8642,0.1632,270.0,E2D2,0,130.68,480.23,0,-1
15,legit_1,491.54,598.4,12.0456,-0.4776,90.0,C3D3,0,41.57,457.4,0,-1
15,legit_2,601.6,825.39,5.9631,1.3386,0.0,D4D5,0,149.12,488.18,0,-1
16,legit_0,615.83,401.6,10.289,-2.5752,270.0,E2D2,0,140.47,479.99,0,-1
16,legit_1,503.36,598.4,11.8249,-0.2208,90.0,C3D3,1,53.39,456.03,0,-1
16,legit_2,601.6,832.98,7.5902,1.6271,0.0,D4D5,0,148.57,490.72,0,-1
16,sybil_16,601.6,609.1,0.0,0.0,0.0,D3D4,1,148.68,450.84,1,5
17,legit_0,610.04,401.6,5.789,-4.5,270.0,E2D2,0,146.01,479.9,0,-1
17,legit_1,515.6,598.4,12.2363,0.4114,90.0,C3D3,1,65.62,454.78,0,-1
17,legit_2,601.6,841.94,8.9578,1.3676,0.0,D4D5,0,148.41,493.83,0,-1
17,sybil_16,601.6,610.48,1.5987,1.5987,0.0,D3D4,1,148.77,450.86,1,5
18,legit_0,603.54,402.68,6.7242,0.9352,282.69,:D2_4,0,152.55,479.54,0,-1
18,legit_1,527.9,598.4,12.2988,0.0625,90.0,C3D3,1,77.91,453.69,0,-1
18,legit_2,601.6,853.01,11.0633,2.1055,0.0,D4D5,0,148.97,497.84,0,-1
18,legit_3,798.4,787.7,0.0,0.0,180.0,E4E3,0,71.26,503.97,0,-1
18,sybil_16,601.6,614.37,8.9485,7.3498,0.0,D3D4,1,149.09,450.94,1,5
19,legit_0,601.6,407.73,5.6772,-1.047,343.65,D2D3,0,155.89,478.11,0,-1
19,legit_1,539.74,598.4,11.8423,-0.4564,90.0,C3D3,2,89.75,452.81,0,-1
19,legit_2,601.6,866.2,13.1937,2.1305,0.0,D4D5,0,150.69,502.86,0,-1
19,legit_3,798.4,786.37,1.3282,1.3282,180.0,E4E3,0,72.24,503.63,0,-1
19,sybil_16,601.6,620.62,0.0,-8.9485,0.0,D3D4,2,149.83,451.11,1,5
19,sybil_17,601.6,620.62,0.0,0.0,0.0,D3D4,2,149.83,451.11,1,5
20,legit_0,601.6,415.12,7.3919,1.7147,0.0,D2D3,0,158.31,476.09,0,-1
20,legit_1,552.52,598.4,12.7829,0.9406,90.0,C3D3,2,102.54,452.04,0,-1
20,legit_2,601.6,878.83,12.6296,-0.5642,0.0,D4D5,0,153.4,507.91,0,-1
20,legit_3,798.4,783.61,2.7664,1.4382,180.0,E4E3,0,74.32,502.94,0,-1
20,sybil_16,601.6,629.08,3.8457,3.8457,0.0,D3D4,2,151.22,451.44,1,5
20,sybil_17,601.6,629.08,9.53,9.53,0.0,D3D4,2,151.22,451.44,1,5
21,legit_0,601.6,424.71,9.5844,2.1925,0.0,D2D3,0,161.89,473.58,0,-1
21,legit_1,564.73,598.4,12.2086,-0.5744,90.0,C3D3,2,114.74,451.47,0,-1
21,legit_2,601.6,891.87,13.0444,0.4148,0.0,D4D5,0,157.21,513.37,0,-1
21,legit_3,798.4,778.29,5.3114,2.545,180.0,E4E3,0,78.42,501.64,0,-1
21,sybil_16,601.6,639.87,23.6542,19.8085,0.0,D3D4,2,153.66,452.01,1,5
21,sybil_17,601.6,639.87,3.8529,-5.6771,0.0,D3D4,2,153.66,452.01,1,5
22,legit_0,601.6,435.74,11.0353,1.4509,0.0,D2D3,0,166.61,470.86,0,-1
22,legit_1,577.46,598.4,12.7248,0.5162,90.0,C3D3,3,127.47,451.06,0,-1
22,legit_2,601.6,905.29,13.4189,0.3745,0.0,D4D5,0,162.13,519.24,0,-1
22,legit_3,798.4,770.56,7.7377,2.4262,180.0,E4E3,0,84.65,499.81,0,-1
22,sybil_16,601.6,652.66,29.2433,5.5891,0.0,D3D4,3,157.47,452.93,1,5
22,sybil_17,601.6,652.66,7.2979,3.445,0.0,D3D4,3,157.47,452.93,1,5
22,sybil_18,601.6,611.8,15.5477,0.0,0.0,D3D4,3,148.87,450.88,1,6
23,legit_0,601.6,448.2,12.4524,1.417,0.0,D2D3,0,172.63,468.0,0,-1
23,legit_1,586.01,598.4,8.55,-4.1748,90.0,C3D3,3,136.02,450.88,0,-1
23,legit_2,601.6,917.9,12.6092,-0.8097,0.0,D4D5,0,167.6,524.98,0,-1
23,legit_3,798.4,761.13,9.4242,1.6865,180.0,E4E3,0,92.53,497.68,0,-1
23,sybil_16,601.6,666.49,33.2261,3.9828,0.0,D3D4,3,162.62,454.2,1,5
23,sybil_17,601.6,666.49,16.0186,8.7207,0.0,D3D4,3,162.62,454.2,1,5
23,sybil_18,601.6,613.31,0.0,-15.5477,0.0,D3D4,3,149.0,450.91,1,6
24,legit_0,601.6,462.06,13.8614,1.409,0.0,D2D3,1,180.11,465.07,0,-1
24,legit_1,591.34,598.4,5.3341,-3.2159,90.0,C3D3,5,141.35,450.82,0,-1
24,legit_2,601.6,930.74,12.837,0.2278,0.0,D4D5,0,173.94,531.04,0,-1
24,legit_3,798.4,750.21,10.9233,1.4991,180.0,E4E3,0,102.0,495.35,0,-1
24,legit_4,987.7,201.6,0.0,0.0,270.0,F1E1,0,102.66,665.86,0,-1
24,sybil_16,601.6,679.5,20.6775,-12.5486,0.0,D3D4,4,168.35,455.64,1,5
24,sybil_17,601.6,679.5,13.4843,-2.5343,0.0,D3D4,4,168.35,455.64,1,5
24,sybil_18,601.6,617.01,5.6085,5.6085,0.0,D3D4,4,149.37,451.0,1,6
24,sybil_19,601.6,617.01,13.6236,0.0,0.0,D3D4,4,149.37,451.0,1,6
24,sybil_32,791.3,1.6,0.0,0.0,270.0,E0D0,0,125.4,726.25,1,10
25,legit_0,601.6,475.87,13.8136,-0.0478,0.0,D2D3,3,188.28,462.41,0,-1
25,legit_1,599.22,598.4,7.8796,2.5455,90.0,:D3_13,5,149.23,450.77,0,-1
25,legit_2,601.6,943.48,12.7408,-0.0962,0.0,D4D5,0,180.92,537.27,0,-1
25,legit_3,798.4,737.23,12.9776,2.0543,180.0,E4E3,0,113.6,492.75,0,-1
25,legit_4,985.34,201.6,2.3616,2.3616,270.0,F1E1,0,104.11,664.7,0,-1
25,sybil_16,601.6,693.0,0.0,-20.6775,0.0,D3D4,4,175.13,457.39,1,5
25,sybil_17,601.6,693.0,3.7532,-9.7312,0.0,D3D4,4,175.13,457.39,1,5
25,sybil_18,601.6,622.04,11.1297,5.5211,0.0,D3D4,5,150.03,451.15,1,6
25,sybil_19,601.6,622.04,2.0352,-11.5884,0.0,D3D4,5,150.03,451.15,1,6
25,sybil_32,788.91,1.6,0.0,0.0,270.0,E0D0,0,124.63,725.69,1,10
26,legit_0,601.6,488.6,12.7286,-1.085,0.0,D2D3,3,185.56,460.2,0,-1
26,legit_1,609.61,598.4,10.3871,2.5074,90.0,D3E3,5,140.4,450.83,0,-1
26,legit_2,601.6,956.53,13.0482,0.3073,0.0,D4D5,0,188.68,543.87,0,-1
26,legit_3,798.4,724.12,13.1116,0.134,180.0,E4E3,0,125.58,490.32,0,-1
26,legit_4,981.61,201.6,3.725,1.3634,270.0,F1E1,0,106.47,662.88,0,-1
26,sybil_16,601.6,705.65,10.7873,10.7873,0.0,D3D4,4,182.17,459.27,1,5
26,sybil_17,601.6,705.65,17.8284,14.0753,0.0,D3D4,4,182.17,459.27,1,5
26,sybil_18,601.6,629.11,23.8313,12.7016,0.0,D3D4,5,151.23,451.44,1,6
26,sybil_19,601.6,629.11,5.3354,3.3002,0.0,D3D4,5,151.23,451.44,1,6
26,sybil_32,785.18,1.6,0.0,0.0,270.0,E0D0,0,123.52,724.84,1,10
