step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,601.6,0.0,0.0,270.0,E3D3,0,37.73,474.54,0,-1
1,legit_0,785.97,601.6,1.7275,1.7275,270.0,E3D3,0,36.01,474.0,0,-1
2,legit_0,782.74,601.6,3.2319,1.5044,270.0,E3D3,0,32.78,473.0,0,-1
3,legit_0,776.92,601.6,5.8221,2.5902,270.0,E3D3,0,26.97,471.22,0,-1
3,sybil_8,750.0,200.0,2.158,0.0,90.0,E0F0,0,80.0,581.19,1,2
4,legit_0,768.7,601.6,8.2186,2.3965,270.0,E3D3,0,18.77,468.78,0,-1
4,sybil_0,830.0,840.0,0.0,0.0,270.0,E4D4,0,80.0,529.96,1,0
4,sybil_8,750.0,200.0,2.8813,0.7234,90.0,E0F0,0,80.0,581.19,1,2
5,legit_0,758.19,601.6,10.5081,2.2895,270.0,E3D3,0,8.35,465.77,0,-1
5,sybil_0,830.0,840.0,16.8319,16.8319,270.0,E4D4,0,80.0,529.96,1,0
5,sybil_8,750.0,200.0,10.2501,7.3688,90.0,E0F0,0,80.0,581.19,1,2
6,legit_0,745.27,601.6,12.9264,2.4183,270.0,E3D3,0,5.0,462.72,0,-1
6,legit_1,-1.6,787.7,0.0,0.0,180.0,A4A3,0,160.37,728.86,0,-1
6,sybil_0,830.0,840.0,10.2078,-6.6241,270.0,E4D4,0,80.0,529.96,1,0
6,sybil_8,750.0,200.0,0.0,-10.2501,90.0,E0F0,1,80.0,581.19,1,2
6,sybil_9,830.0,120.0,0.0,0.0,90.0,E0F0,1,80.0,650.36,1,3
7,legit_0,731.93,601.6,13.3319,0.4055,270.0,E3D3,0,18.14,460.61,0,-1
7,legit_1,-1.6,786.34,1.3556,1.3556,180.0,A4A3,0,160.82,728.56,0,-1
7,sybil_0,830.0,840.0,12.414,2.2062,270.0,E4D4,0,80.0,529.96,1,0
7,sybil_1,670.0,840.0,8.9422,0.0,270.0,E4D4,0,80.0,495.78,1,0
7,sybil_8,750.0,200.0,0.0,0.0,90.0,E0F0,1,80.0,581.19,1,2
7,sybil_9,830.0,120.0,1.9268,1.9268,90.0,E0F0,1,80.0,650.36,1,3
8,legit_0,718.68,601.6,13.2522,-0.0797,270.0,E3D3,0,31.36,458.72,0,-1
8,legit_1,-1.6,783.48,2.8619,1.5063,180.0,A4A3,0,161.79,727.93,0,-1
8,sybil_0,830.0,840.0,27.094,14.68,270.0,E4D4,0,80.0,529.96,1,0
8,sybil_1,670.0,840.0,4.9993,-3.9429,270.0,E4D4,0,80.0,495.78,1,0
8,sybil_10,670.0,120.0,6.8442,0.0,90.0,E0F0,1,80.0,619.36,1,3
8,sybil_8,750.0,200.0,22.5143,22.5143,90.0,E0F0,2,80.0,581.19,1,2
8,sybil_9,830.0,120.0,0.0,-1.9268,90.0,E0F0,1,80.0,650.36,1,3
9,legit_0,705.36,601.6,13.325,0.0728,270.0,E3D3,0,44.67,457.03,0,-1
9,legit_1,-1.6,779.16,4.3199,1.4581,180.0,A4A3,0,163.35,727.0,0,-1
9,sybil_0,830.0,840.0,8.7956,-18.2984,270.0,E4D4,0,80.0,529.96,1,0
9,sybil_1,670.0,840.0,6.7915,1.7922,270.0,E4D4,0,80.0,495.78,1,0
9,sybil_10,670.0,120.0,7.2365,0.3923,90.0,E0F0,1,80.0,619.36,1,3
9,sybil_8,750.0,200.0,23.3279,0.8135,90.0,E0F0,2,80.0,581.19,1,2
9,sybil_9,830.0,120.0,13.1049,13.1049,90.0,E0F0,1,80.0,650.36,1,3
10,legit_0,692.21,601.6,13.1439,-0.181,270.0,E3D3,0,57.81,455.56,0,-1
10,legit_1,-1.6,772.29,6.871,2.551,180.0,A4A3,0,166.03,725.56,0,-1
10,sybil_0,830.0,840.0,5.5161,-3.2794,270.0,E4D4,1,80.0,529.96,1,0
10,sybil_1,670.0,840.0,5.0052,-1.7863,270.0,E4D4,1,80.0,495.78,1,0
10,sybil_10,670.0,120.0,3.3711,-3.8654,90.0,E0F0,1,80.0,619.36,1,3
10,sybil_2,750.0,920.0,3.0689,0.0,270.0,E4D4,2,80.0,540.23,1,0
10,sybil_8,750.0,200.0,15.897,-7.4309,90.0,E0F0,2,80.0,581.19,1,2
10,sybil_9,830.0,120.0,18.0498,4.9449,90.0,E0F0,1,80.0,650.36,1,3
11,legit_0,678.95,601.6,13.2613,0.1174,270.0,E3D3,0,71.07,454.28,0,-1
11,legit_1,-1.6,763.36,8.9284,2.0574,180.0,A4A3,0,169.87,723.78,0,-1
11,sybil_0,830.0,840.0,0.0249,-5.4913,270.0,E4D4,1,80.0,529.96,1,0
11,sybil_1,670.0,840.0,12.8313,7.8261,270.0,E4D4,1,80.0,495.78,1,0
11,sybil_10,670.0,120.0,17.2381,13.8669,90.0,E0F0,1,80.0,619.36,1,3
11,sybil_2,750.0,920.0,8.5624,5.4935,270.0,E4D4,2,80.0,540.23,1,0
11,sybil_8,750.0,200.0,25.7911,9.8942,90.0,E0F0,2,80.0,581.19,1,2
11,sybil_9,830.0,120.0,8.482,-9.5678,90.0,E0F0,1,80.0,650.36,1,3
12,legit_0,665.88,601.6,13.0717,-0.1896,270.0,E3D3,0,84.14,453.21,0,-1
12,legit_1,-1.6,752.02,11.3438,2.4154,180.0,A4A3,0,175.28,721.65,0,-1
12,legit_2,412.3,798.4,0.0,0.0,90.0,C4D4,0,56.14,503.55,0,-1
12,sybil_0,830.0,840.0,10.5714,10.5465,270.0,E4D4,1,80.0,529.96,1,0
12,sybil_1,670.0,840.0,0.0,-12.8313,270.0,E4D4,1,80.0,495.78,1,0
12,sybil_10,670.0,120.0,13.2495,-3.9886,90.0,E0F0,2,80.0,619.36,1,3
12,sybil_11,750.0,200.0,4.9976,0.0,90.0,E0F0,3,80.0,581.19,1,3
12,sybil_2,750.0,920.0,16.0356,7.4732,270.0,E4D4,2,80.0,540.23,1,0
12,sybil_8,750.0,200.0,19.143,-6.6482,90.0,E0F0,3,80.0,581.19,1,2
12,sybil_9,830.0,120.0,8.3454,-0.1366,90.0,E0F0,2,80.0,650.36,1,3
13,legit_0,652.26,601.6,13.6165,0.5448,270.0,E3D3,0,97.75,452.31,0,-1
13,legit_1,-1.6,739.05,12.965,1.6213,180.0,A4A3,0,182.13,719.39,0,-1
13,legit_2,413.74,798.4,1.4417,1.4417,90.0,C4D4,0,55.18,503.13,0,-1
13,sybil_0,830.0,840.0,10.1454,-0.426,270.0,E4D4,2,80.0,529.96,1,0
13,sybil_1,670.0,840.0,0.0,0.0,270.0,E4D4,1,80.0,495.78,1,0
13,sybil_10,670.0,120.0,12.5958,-0.6536,90.0,E0F0,2,80.0,619.36,1,3
13,sybil_11,750.0,200.0,0.0,-4.9976,90.0,E0F0,3,80.0,581.19,1,3
13,sybil_2,750.0,920.0,4.6939,-11.3416,270.0,E4D4,3,80.0,540.23,1,0
13,sybil_3,830.0,840.0,2.514,0.0,270.0,E4D4,2,80.0,529.96,1,1
13,sybil_8,750.0,200.0,11.4902,-7.6528,90.0,E0F0,3,80.0,581.19,1,2
13,sybil_9,830.0,120.0,25.3036,16.9582,90.0,E0F0,2,80.0,650.36,1,3
14,legit_0,639.0,601.6,13.2642,-0.3523,270.0,E3D3,0,111.01,451.63,0,-1
14,legit_1,-1.6,726.15,12.9038,-0.0612,180.0,A4A3,0,189.59,717.34,0,-1
14,legit_2,416.86,798.4,3.1154,1.6738,90.0,C4D4,0,53.19,502.23,0,-1
14,sybil_0,830.0,840.0,0.0,-10.1454,270.0,E4D4,2,80.0,529.96,1,0
14,sybil_1,670.0,840.0,13.4738,13.4738,270.0,E4D4,1,80.0,495.78,1,0
14,sybil_10,670.0,120.0,0.0,-12.5958,90.0,E0F0,1,80.0,619.36,1,3
14,sybil_11,750.0,200.0,0.0,0.0,90.0,E0F0,3,80.0,581.19,1,3
14,sybil_12,830.0,120.0,0.0,0.0,90.0,E0F0,2,80.0,650.36,1,4
14,sybil_2,750.0,920.0,0.0,-4.6939,270.0,E4D4,3,80.0,540.23,1,0
14,sybil_3,830.0,840.0,3.8273,1.3132,270.0,E4D4,2,80.0,529.96,1,1
14,sybil_8,1050.0,200.0,13.4099,1.9197,90.0,E0F0,0,80.0,700.12,1,2
14,sybil_9,830.0,120.0,5.2068,-20.0968,90.0,E0F0,2,80.0,650.36,1,3
15,legit_0,625.42,601.6,13.5763,0.3121,270.0,E3D3,0,124.59,451.14,0,-1
15,legit_1,-1.6,714.17,11.9792,-0.9247,180.0,A4A3,0,189.78,715.61,0,-1
15,legit_2,422.51,798.4,5.6563,2.5409,90.0,C4D4,0,49.86,500.65,0,-1
15,sybil_0,830.0,840.0,13.217,13.217,270.0,E4D4,2,80.0,529.96,1,0
15,sybil_1,670.0,840.0,12.1344,-1.3394,270.0,E4D4,1,80.0,495.78,1,0
15,sybil_10,670.0,120.0,9.6807,9.6807,90.0,E0F0,1,80.0,619.36,1,3
15,sybil_11,750.0,200.0,6.6887,6.6887,90.0,E0F0,3,80.0,581.19,1,3
15,sybil_12,830.0,120.0,0.0,0.0,90.0,E0F0,2,80.0,650.36,1,4
15,sybil_2,750.0,920.0,28.6666,28.6666,270.0,E4D4,3,80.0,540.23,1,0
15,sybil_3,830.0,840.0,20.9038,17.0765,270.0,E4D4,2,80.0,529.96,1,1
15,sybil_8,1050.0,200.0,28.3327,14.9228,90.0,E0F0,0,80.0,700.12,1,2
15,sybil_9,830.0,120.0,23.9098,18.703,90.0,E0F0,2,80.0,650.36,1,3
16,legit_0,615.08,601.6,10.3442,-3.2321,270.0,E3D3,0,134.93,450.9,0,-1
16,legit_1,-1.6,701.64,12.5337,0.5546,180.0,A4A3,0,182.52,713.98,0,-1
16,legit_2,430.13,798.4,7.6174,1.9611,90.0,C4D4,0,46.1,498.61,0,-1
16,sybil_0,830.0,840.0,4.0638,-9.1532,270.0,E4D4,2,80.0,529.96,1,0
16,sybil_1,670.0,840.0,22.2717,10.1373,270.0,E4D4,2,80.0,495.78,1,0
16,sybil_10,670.0,120.0,16.2012,6.5206,90.0,E0F0,1,80.0,619.36,1,3
16,sybil_11,750.0,200.0,7.5938,0.9052,90.0,E0F0,3,80.0,581.19,1,3
16,sybil_12,830.0,120.0,1.4898,1.4898,90.0,E0F0,2,80.0,650.36,1,4
16,sybil_2,750.0,920.0,11.013,-17.6536,270.0,E4D4,4,80.0,540.23,1,0
16,sybil_3,830.0,840.0,8.6786,-12.2252,270.0,E4D4,2,80.0,529.96,1,1
16,sybil_4,670.0,840.0,9.8522,0.0,270.0,E4D4,2,80.0,495.78,1,1
16,sybil_8,1050.0,200.0,0.0,-28.3327,90.0,E0F0,0,80.0,700.12,1,2
16,sybil_9,830.0,120.0,24.7716,0.8617,90.0,E0F0,2,80.0,650.36,1,3
17,legit_0,609.23,601.6,5.8442,-4.5,270.0,E3D3,0,140.78,450.82,0,-1
17,legit_1,-1.6,688.99,12.6463,0.1126,180.0,A4A3,0,175.79,712.51,0,-1
17,legit_2,439.58,798.4,9.4505,1.8331,90.0,C4D4,0,42.88,496.24,0,-1
17,sybil_0,830.0,840.0,5.562,1.4982,270.0,E4D4,2,80.0,529.96,1,0
17,sybil_1,670.0,840.0,9.4839,-12.7878,270.0,E4D4,2,80.0,495.78,1,0
17,sybil_10,670.0,120.0,11.4553,-4.7459,90.0,E0F0,2,80.0,619.36,1,3
17,sybil_11,750.0,200.0,0.0,-7.5938,90.0,E0F0,4,80.0,581.19,1,3
17,sybil_12,830.0,120.0,8.9006,7.4108,90.0,E0F0,2,80.0,650.36,1,4
17,sybil_13,670.0,120.0,0.0699,0.0,90.0,E0F0,2,80.0,619.36,1,4
17,sybil_2,750.0,920.0,11.9706,0.9576,270.0,E4D4,4,80.0,540.23,1,0
17,sybil_3,830.0,840.0,11.2089,2.5303,270.0,E4D4,2,80.0,529.96,1,1
17,sybil_4,670.0,840.0,2.4244,-7.4278,270.0,E4D4,2,80.0,495.78,1,1
17,sybil_8,1050.0,200.0,16.3739,16.3739,90.0,E0F0,0,80.0,700.12,1,2
17,sybil_9,830.0,120.0,11.9217,-12.8499,90.0,E0F0,2,80.0,650.36,1,3
18,legit_0,602.93,603.11,6.6792,0.835,288.11,:D3_4,0,147.1,450.78,0,-1
18,legit_1,-1.6,675.95,13.0374,0.391,180.0,A4A3,0,169.56,711.2,0,-1
