step,vehicle_id,x,y,speed,accel,angle,edge_id,n_neighbors,min_rsu_dist,mean_rsu_dist,is_sybil,attacker_id
0,legit_0,787.7,601.6,0.0,0.0,270.0,E3D3,0,37.73,474.54,0,-1
1,legit_0,785.97,601.6,1.7275,1.7275,270.0,E3D3,0,36.01,474.0,0,-1
2,legit_0,782.74,601.6,3.2319,1.5044,270.0,E3D3,0,32.78,473.0,0,-1
3,legit_0,776.92,601.6,5.8221,2.5902,270.0,E3D3,0,26.97,471.22,0,-1
4,legit_0,768.7,601.6,8.2186,2.3965,270.0,E3D3,0,18.77,468.78,0,-1
5,legit_0,758.19,601.6,10.5081,2.2895,270.0,E3D3,0,8.35,465.77,0,-1
6,legit_0,745.27,601.6,12.9264,2.4183,270.0,E3D3,0,5.0,462.72,0,-1
6,legit_1,-1.6,787.7,0.0,0.0,180.0,A4A3,0,160.37,728.86,0,-1
7,legit_0,731.93,601.6,13.3319,0.4055,270.0,E3D3,0,18.14,460.61,0,-1
7,legit_1,-1.6,786.34,1.3556,1.3556,180.0,A4A3,0,160.82,728.56,0,-1
8,legit_0,718.68,601.6,13.2522,-0.0797,270.0,E3D3,0,31.36,458.72,0,-1
8,legit_1,-1.6,783.48,2.8619,1.5063,180.0,A4A3,0,161.79,727.93,0,-1
8,sybil_4,230.0,1080.0,12.9954,0.0,270.0,B5A5,0,80.0,703.87,1,2
9,legit_0,705.36,601.6,13.325,0.0728,270.0,E3D3,0,44.67,457.03,0,-1
9,legit_1,-1.6,779.16,4.3199,1.4581,180.0,A4A3,0,163.35,727.0,0,-1
9,sybil_4,230.0,1080.0,0.0,-12.9954,270.0,B5A5,0,80.0,703.87,1,2
10,legit_0,692.21,601.6,13.1439,-0.181,270.0,E3D3,0,57.81,455.56,0,-1
10,legit_1,-1.6,772.29,6.871,2.551,180.0,A4A3,0,166.03,725.56,0,-1
10,sybil_4,230.0,1080.0,10.5717,10.5717,270.0,B5A5,0,80.0,703.87,1,2
11,legit_0,678.95,601.6,13.2613,0.1174,270.0,E3D3,0,71.07,454.28,0,-1
11,legit_1,-1.6,763.36,8.9284,2.0574,180.0,A4A3,0,169.87,723.78,0,-1
11,sybil_4,230.0,1080.0,8.6984,-1.8733,270.0,B5A5,0,80.0,703.87,1,2
11,sybil_5,70.0,1080.0,0.4476,0.0,270.0,B5A5,0,80.0,793.2,1,2
12,legit_0,665.88,601.6,13.0717,-0.1896,270.0,E3D3,0,84.14,453.21,0,-1
12,legit_1,-1.6,752.02,11.3438,2.4154,180.0,A4A3,0,175.28,721.65,0,-1
12,legit_2,412.3,798.4,0.0,0.0,90.0,C4D4,0,56.14,503.55,0,-1
12,sybil_4,230.0,1080.0,22.2486,13.5502,270.0,B5A5,0,80.0,703.87,1,2
12,sybil_5,70.0,1080.0,0.0,-0.4476,270.0,B5A5,0,80.0,793.2,1,2
13,legit_0,652.26,601.6,13.6165,0.5448,270.0,E3D3,0,97.75,452.31,0,-1
13,legit_1,-1.6,739.1,12.9223,1.5785,180.0,A4A3,0,182.11,719.4,0,-1
13,legit_2,413.74,798.4,1.4417,1.4417,90.0,C4D4,0,55.18,503.13,0,-1
13,sybil_4,230.0,1080.0,11.5908,-10.6577,270.0,B5A5,1,80.0,703.87,1,2
13,sybil_5,70.0,1080.0,5.5575,5.5575,270.0,B5A5,0,80.0,793.2,1,2
13,sybil_6,230.0,1080.0,0.0,0.0,270.0,B5A5,1,80.0,703.87,1,3
14,legit_0,639.0,601.6,13.2642,-0.3523,270.0,E3D3,0,111.01,451.63,0,-1
14,legit_1,-1.6,726.24,12.8611,-0.0612,180.0,A4A3,0,189.54,717.36,0,-1
14,legit_2,416.86,798.4,3.1154,1.6738,90.0,C4D4,0,53.19,502.23,0,-1
14,sybil_12,230.0,1080.0,1.9906,0.0,186.02,B5B4,2,80.0,703.87,1,6
14,sybil_4,230.0,1080.0,10.5388,-1.052,270.0,B5A5,2,80.0,703.87,1,2
14,sybil_5,70.0,1080.0,0.0,-5.5575,270.0,B5A5,0,80.0,793.2,1,2
14,sybil_6,230.0,1080.0,0.0,0.0,270.0,B5A5,2,80.0,703.87,1,3
15,legit_0,625.42,601.6,13.5763,0.3121,270.0,E3D3,0,124.59,451.14,0,-1
15,legit_1,-1.6,714.3,11.9364,-0.9247,180.0,A4A3,0,189.86,715.63,0,-1
15,legit_2,422.51,798.4,5.6563,2.5409,90.0,C4D4,0,49.86,500.65,0,-1
15,sybil_12,230.0,1080.0,0.0,-1.9906,183.11,B5B4,2,80.0,703.87,1,6
15,sybil_4,230.0,1080.0,10.5064,-0.0324,270.0,B5A5,2,80.0,703.87,1,2
15,sybil_5,70.0,1080.0,23.1376,23.1376,270.0,B5A5,0,80.0,793.2,1,2
15,sybil_6,230.0,1080.0,0.0,0.0,270.0,B5A5,2,80.0,703.87,1,3
16,legit_0,615.08,601.6,10.3442,-3.2321,270.0,E3D3,0,134.93,450.9,0,-1
16,legit_1,-1.6,701.81,12.491,0.5546,180.0,A4A3,0,182.61,714.0,0,-1
16,legit_2,430.13,798.4,7.6174,1.9611,90.0,C4D4,0,46.1,498.61,0,-1
16,sybil_12,230.0,1080.0,1.6447,1.6447,180.0,B5B4,2,80.0,703.87,1,6
16,sybil_4,230.0,1080.0,22.0482,11.5418,270.0,B5A5,2,80.0,703.87,1,2
16,sybil_5,70.0,1080.0,7.3719,-15.7657,270.0,B5A5,1,80.0,793.2,1,2
16,sybil_6,230.0,1080.0,6.708,6.708,270.0,B5A5,2,80.0,703.87,1,3
16,sybil_7,70.0,1080.0,0.0,0.0,270.0,B5A5,1,80.0,793.2,1,3
17,legit_0,609.23,601.6,5.8442,-4.5,270.0,E3D3,0,140.78,450.82,0,-1
17,legit_1,-1.6,689.21,12.6036,0.1126,180.0,A4A3,0,175.9,712.53,0,-1
17,legit_2,439.58,798.4,9.4505,1.8331,90.0,C4D4,0,42.88,496.24,0,-1
17,sybil_12,230.0,1080.0,0.8688,-0.7758,180.0,B5B4,2,80.0,703.87,1,6
17,sybil_13,70.0,1080.0,3.8255,0.0,180.32,B5B4,2,80.0,793.2,1,6
17,sybil_4,230.0,1080.0,23.8529,1.8047,270.0,B5A5,2,80.0,703.87,1,2
17,sybil_5,70.0,1080.0,18.3807,11.0088,270.0,B5A5,2,80.0,793.2,1,2
17,sybil_6,230.0,1080.0,0.0,-6.708,270.0,B5A5,2,80.0,703.87,1,3
17,sybil_7,70.0,1080.0,3.6277,3.6277,270.0,B5A5,2,80.0,793.2,1,3
18,legit_0,602.93,603.11,6.6792,0.835,288.11,:D3_4,0,147.1,450.78,0,-1
18,legit_1,-1.6,676.21,12.9946,0.391,180.0,A4A3,0,169.68,711.22,0,-1
18,legit_2,451.58,798.4,11.9938,2.5433,90.0,C4D4,0,41.63,493.53,0,-1
18,legit_3,1001.6,812.3,0.0,0.0,0.0,F4F5,0,55.77,596.87,0,-1
18,sybil_0,230.0,1080.0,0.0,0.0,181.79,A5A4,3,80.0,703.87,1,0
18,sybil_12,230.0,1080.0,0.0,-0.8688,180.0,B5B4,3,80.0,703.87,1,6
18,sybil_13,70.0,1080.0,0.0,-3.8255,180.0,B5B4,2,80.0,793.2,1,6
18,sybil_4,230.0,1080.0,14.4923,-9.3606,270.0,B5A5,3,80.0,703.87,1,2
18,sybil_5,70.0,1080.0,3.1049,-15.2758,270.0,B5A5,2,80.0,793.2,1,2
18,sybil_6,230.0,1080.0,6.369,6.369,270.0,B5A5,3,80.0,703.87,1,3
18,sybil_7,70.0,1080.0,9.3135,5.6858,270.0,B5A5,2,80.0,793.2,1,3
19,legit_0,601.6,608.87,6.0545,-0.6247,350.75,D3D4,0,148.66,450.84,0,-1
19,legit_1,-1.6,664.01,12.2018,-0.7928,180.0,A4A3,0,164.56,710.17,0,-1
19,legit_2,464.5,798.4,12.9238,0.93,90.0,C4D4,0,44.05,490.98,0,-1
19,legit_3,1001.6,813.85,1.5497,1.5497,0.0,F4F5,0,55.01,597.29,0,-1
19,sybil_0,230.0,1080.0,13.9881,13.9881,180.0,A5A4,4,80.0,703.87,1,0
19,sybil_12,230.0,1080.0,4.3352,4.3352,180.0,B5B4,4,80.0,703.87,1,6
19,sybil_13,70.0,1080.0,0.5717,0.5717,180.0,B5B4,2,80.0,793.2,1,6
19,sybil_14,230.0,1080.0,3.5371,0.0,191.29,B5B4,4,80.0,703.87,1,7
19,sybil_4,230.0,1080.0,9.7604,-4.7319,270.0,B5A5,4,80.0,703.87,1,2
19,sybil_5,70.0,1080.0,13.6113,10.5064,270.0,B5A5,2,80.0,793.2,1,2
19,sybil_6,230.0,1080.0,18.9853,12.6163,270.0,B5A5,4,80.0,703.87,1,3
19,sybil_7,70.0,1080.0,11.6076,2.2941,270.0,B5A5,2,80.0,793.2,1,3
20,legit_0,601.6,616.3,7.4321,1.3775,0.0,D3D4,0,149.29,450.98,0,-1
20,legit_1,-1.6,651.3,12.7055,0.5037,180.0,A4A3,0,160.05,709.27,0,-1
20,legit_2,478.07,798.4,13.5682,0.6445,90.0,C4D4,0,50.18,488.68,0,-1
20,legit_3,1001.6,817.04,3.1938,1.6441,0.0,F4F5,0,53.57,598.17,0,-1
20,sybil_0,230.0,1080.0,18.8285,4.8404,180.0,A5A4,3,80.0,703.87,1,0
20,sybil_12,230.0,840.0,13.6805,9.3452,180.0,B5B4,0,80.0,589.02,1,6
20,sybil_13,70.0,840.0,14.989,14.4173,180.0,B5B4,0,80.0,687.62,1,6
20,sybil_14,230.0,1080.0,16.5333,12.9962,188.81,B5B4,3,80.0,703.87,1,7
20,sybil_4,230.0,1080.0,11.5507,1.7902,270.0,B5A5,3,80.0,703.87,1,2
20,sybil_5,70.0,1080.0,12.3104,-1.3009,270.0,B5A5,1,80.0,793.2,1,2
20,sybil_6,230.0,1080.0,12.1795,-6.8058,270.0,B5A5,3,80.0,703.87,1,3
20,sybil_7,70.0,1080.0,6.3407,-5.2669,270.0,B5A5,1,80.0,793.2,1,3
21,legit_0,601.6,626.25,9.9508,2.5187,0.0,D3D4,0,150.7,451.31,0,-1
21,legit_1,-1.6,638.79,12.5133,-0.1922,180.0,A4A3,0,156.48,708.57,0,-1
21,legit_2,491.25,798.4,13.1811,-0.3871,90.0,C4D4,0,58.58,486.77,0,-1
21,legit_3,1001.6,822.11,5.0633,1.8695,0.0,F4F5,0,51.6,599.6,0,-1
21,sybil_0,230.0,1080.0,15.5098,-3.3187,180.0,A5A4,3,80.0,703.87,1,0
21,sybil_1,70.0,1080.0,1.4326,0.0,183.25,A5A4,2,80.0,793.2,1,0
21,sybil_12,230.0,840.0,1.6365,-12.044,180.0,B5B4,0,80.0,589.02,1,6
21,sybil_13,70.0,840.0,5.4564,-9.5326,180.0,B5B4,0,80.0,687.62,1,6
21,sybil_14,230.0,1080.0,3.3897,-13.1435,183.32,B5B4,3,80.0,703.87,1,7
21,sybil_4,230.0,1080.0,8.315,-3.2357,270.0,B5A5,3,80.0,703.87,1,2
21,sybil_5,70.0,1080.0,0.0,-12.3104,270.0,B5A5,2,80.0,793.2,1,2
21,sybil_6,230.0,1080.0,17.7932,5.6137,270.0,B5A5,3,80.0,703.87,1,3
21,sybil_7,70.0,1080.0,19.3207,12.98,270.0,B5A5,2,80.0,793.2,1,3
22,legit_0,601.6,638.55,12.2996,2.3488,0.0,D3D4,0,153.33,451.93,0,-1
22,legit_1,-1.6,626.92,11.8663,-0.647,180.0,A4A3,0,153.97,708.08,0,-1
22,legit_2,504.17,798.4,12.9213,-0.2598,90.0,C4D4,0,68.3,485.17,0,-1
22,legit_3,1001.6,828.68,6.5768,1.5135,0.0,F4F5,0,49.71,601.53,0,-1
22,sybil_0,230.0,1080.0,3.6109,-11.899,180.0,A5A4,3,80.0,703.87,1,0
22,sybil_1,70.0,1080.0,0.0,-1.4326,180.34,A5A4,2,80.0,793.2,1,0
22,sybil_12,230.0,840.0,13.4135,11.777,180.0,B5B4,0,80.0,589.02,1,6
22,sybil_13,70.0,840.0,21.5633,16.1069,180.0,B5B4,0,80.0,687.62,1,6
22,sybil_14,230.0,1080.0,3.8383,0.4486,180.0,B5B4,3,80.0,703.87,1,7
22,sybil_4,230.0,1080.0,14.7172,6.4022,270.0,B5A5,3,80.0,703.87,1,2
22,sybil_5,70.0,1080.0,7.78,7.78,270.0,B5A5,2,80.0,793.2,1,2
