detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s
IQR Speed Threshold,0.0571,0.0571,1.0,0.1081,0.0,0.0,5,42,0.13
RSU Position Verification,0.9429,0.0,0.0,0.0,1.0,0.0,5,42,40.28
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,42,1.41
Random Forest,0.9717,0.7235,0.622,0.665,0.9934,0.3301,5,42,5.5
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,5,42,59.23
Dynamic k-Means,0.9987,0.9779,1.0,0.9888,0.9986,0.0,5,42,4.44
IQR Speed Threshold,0.0582,0.0582,1.0,0.11,0.0,0.0,10,42,0.17
RSU Position Verification,0.9418,0.0,0.0,0.0,1.0,0.0,10,42,33.93
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,42,1.62
Random Forest,0.9715,0.8662,0.594,0.6938,0.9953,0.1793,10,42,6.86
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,10,42,52.06
Dynamic k-Means,0.9987,0.9783,1.0,0.989,0.9986,0.0,10,42,0.13
IQR Speed Threshold,0.1154,0.1154,1.0,0.207,0.0,0.0,15,42,0.17
RSU Position Verification,0.8846,0.0,0.0,0.0,1.0,0.0,15,42,22.49
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,42,1.08
Random Forest,0.974,0.8938,0.8901,0.8898,0.9854,0.072,15,42,7.04
LSTM,0.8947,0.0,0.0,0.0,1.0,0.0,15,42,35.28
Dynamic k-Means,0.9988,0.9895,1.0,0.9947,0.9986,0.0,15,42,0.11
IQR Speed Threshold,0.21,0.21,1.0,0.3471,0.0,0.0,20,42,0.07
RSU Position Verification,0.7724,0.3633,0.1113,0.1705,0.9481,0.0,20,42,20.88
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,42,0.8
Random Forest,0.9797,0.9375,0.9736,0.9544,0.9811,0.0219,20,42,4.63
LSTM,0.8095,0.0,0.0,0.0,1.0,0.0,20,42,46.4
Dynamic k-Means,0.9989,0.9948,1.0,0.9974,0.9986,0.0,20,42,0.52
IQR Speed Threshold,0.2514,0.2514,1.0,0.4018,0.0,0.0,25,42,0.19
RSU Position Verification,0.7318,0.0,0.0,0.0,0.9775,0.0,25,42,21.78
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,42,1.67
Random Forest,0.9723,0.9258,0.9751,0.9486,0.9711,0.0272,25,42,6.97
LSTM,0.8182,0.5714,0.8,0.6667,0.8235,0.0,25,42,53.07
Dynamic k-Means,0.9957,0.9831,1.0,0.9915,0.9942,0.0,25,42,0.24
IQR Speed Threshold,0.2813,0.2813,1.0,0.4391,0.0,0.0,30,42,0.22
RSU Position Verification,0.7187,0.0,0.0,0.0,1.0,0.0,30,42,26.14
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,42,1.49
Random Forest,0.9853,0.9684,0.9814,0.9748,0.9867,0.0098,30,42,5.52
LSTM,1.0,1.0,1.0,1.0,1.0,0.0,30,42,45.11
Dynamic k-Means,0.9976,0.9916,1.0,0.9958,0.9967,0.0,30,42,0.18
IQR Speed Threshold,0.3473,0.3473,1.0,0.5156,0.0,0.0,35,42,0.11
RSU Position Verification,0.6527,0.0,0.0,0.0,1.0,0.0,35,42,28.19
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,42,1.73
Random Forest,0.9714,0.9384,0.981,0.9589,0.9668,0.0248,35,42,5.89
LSTM,1.0,1.0,1.0,1.0,1.0,0.0,35,42,55.24
Dynamic k-Means,0.9991,0.9974,1.0,0.9987,0.9986,0.0,35,42,0.24
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,42,0.23
RSU Position Verification,0.6022,0.0,0.0,0.0,1.0,0.0,40,42,33.26
TASER Bayesian Trust,0.9915,1.0,0.9786,0.9892,1.0,0.0,40,42,1.45
Random Forest,0.9733,0.9504,0.9848,0.967,0.9661,0.0164,40,42,7.88
LSTM,0.9259,0.8333,1.0,0.9091,0.8824,0.0,40,42,29.19
Dynamic k-Means,0.9053,0.8078,1.0,0.8937,0.8428,0.0,40,42,0.05
IQR Speed Threshold,0.057,0.057,1.0,0.1079,0.0,0.0,5,123,0.04
RSU Position Verification,0.9065,0.0,0.0,0.0,0.9613,0.0,5,123,7.42
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,123,0.44
Random Forest,0.9735,0.8975,0.6023,0.7162,0.996,0.0924,5,123,3.54
LSTM,0.9444,0.0,0.0,0.0,1.0,0.0,5,123,54.1
Dynamic k-Means,0.9969,0.9485,1.0,0.9736,0.9967,0.0,5,123,0.47
IQR Speed Threshold,0.0573,0.0573,1.0,0.1084,0.0,0.0,10,123,0.26
RSU Position Verification,0.9427,0.0,0.0,0.0,1.0,0.0,10,123,29.58
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,123,1.09
Random Forest,0.9718,0.8574,0.6116,0.7028,0.9944,0.1575,10,123,9.88
LSTM,0.6667,0.1429,1.0,0.25,0.6471,0.0,10,123,37.6
Dynamic k-Means,0.9987,0.978,1.0,0.9889,0.9986,0.0,10,123,0.09
IQR Speed Threshold,0.1079,0.1079,1.0,0.1947,0.0,0.0,15,123,0.07
RSU Position Verification,0.8705,0.0,0.0,0.0,0.9758,0.0,15,123,24.07
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,123,0.69
Random Forest,0.9824,0.9501,0.8878,0.9158,0.9942,0.0314,15,123,4.36
LSTM,0.6842,0.1667,0.5,0.25,0.7059,0.0,15,123,40.3
Dynamic k-Means,0.9829,0.8631,1.0,0.9265,0.9808,0.0,15,123,0.09
IQR Speed Threshold,0.2073,0.2073,1.0,0.3433,0.0,0.0,20,123,0.05
RSU Position Verification,0.7927,0.0,0.0,0.0,1.0,0.0,20,123,36.4
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,123,0.68
Random Forest,0.9863,0.9579,0.9773,0.967,0.9889,0.0207,20,123,4.39
LSTM,0.9524,1.0,0.75,0.8571,1.0,0.0,20,123,37.94
Dynamic k-Means,0.9989,0.9948,1.0,0.9974,0.9986,0.0,20,123,0.1
IQR Speed Threshold,0.2528,0.2528,1.0,0.4036,0.0,0.0,25,123,0.06
RSU Position Verification,0.7472,0.0,0.0,0.0,1.0,0.0,25,123,15.96
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,123,1.09
Random Forest,0.9716,0.9226,0.9703,0.9453,0.9722,0.0272,25,123,4.33
LSTM,0.8182,0.6,0.6,0.6,0.8824,0.0,25,123,46.58
Dynamic k-Means,0.981,0.9302,1.0,0.9639,0.9746,0.0,25,123,0.4
IQR Speed Threshold,0.2803,0.2803,1.0,0.4379,0.0,0.0,30,123,0.41
RSU Position Verification,0.7197,0.0,0.0,0.0,1.0,0.0,30,123,24.27
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,123,1.51
Random Forest,0.9856,0.9669,0.9819,0.9742,0.9871,0.0129,30,123,5.48
LSTM,0.8261,1.0,0.3333,0.5,1.0,0.0,30,123,68.71
Dynamic k-Means,0.9864,0.9538,1.0,0.9764,0.9811,0.0,30,123,0.79
IQR Speed Threshold,0.3391,0.3391,1.0,0.5065,0.0,0.0,35,123,0.66
RSU Position Verification,0.6454,0.0,0.0,0.0,0.9766,0.0,35,123,61.39
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,123,0.88
Random Forest,0.971,0.9331,0.9863,0.9586,0.9631,0.0171,35,123,7.39
LSTM,0.96,1.0,0.875,0.9333,1.0,0.0,35,123,80.79
Dynamic k-Means,0.9875,0.9645,1.0,0.9819,0.9811,0.0,35,123,0.52
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,123,0.23
RSU Position Verification,0.5744,0.0,0.0,0.0,0.9766,0.0,40,123,60.67
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,123,4.06
Random Forest,0.9772,0.956,0.9899,0.9724,0.9689,0.0156,40,123,15.29
LSTM,0.9259,0.9,0.9,0.9,0.9412,0.0,40,123,99.83
Dynamic k-Means,0.9981,0.9953,1.0,0.9976,0.9967,0.0,40,123,0.41
