detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
IQR Speed Threshold,0.0548,0.0548,1.0,0.1038,0.0,0.0,5,42,0.05,split_position
RSU Position Verification,0.9298,0.4256,0.8067,0.5572,0.9369,0.0,5,42,9.94,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,5,42,0.8,split_position
Random Forest,0.9988,0.998,0.9826,0.9902,0.9998,0.01,5,42,4.46,split_position
LSTM,0.8889,0.0,0.0,0.0,0.9412,0.0,5,42,33.65,split_position
Dynamic k-Means,0.9988,0.9783,1.0,0.989,0.9987,0.0,5,42,4.84,split_position
IQR Speed Threshold,0.0552,0.0552,1.0,0.1046,0.0,0.0,10,42,0.11,split_position
RSU Position Verification,0.9896,1.0,0.8124,0.8965,1.0,0.0,10,42,21.68,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,10,42,0.78,split_position
Random Forest,0.9975,0.9948,0.9577,0.9743,0.9997,0.0457,10,42,4.65,split_position
LSTM,0.8889,0.0,0.0,0.0,0.9412,0.0,10,42,37.09,split_position
Dynamic k-Means,0.9988,0.9784,1.0,0.9891,0.9987,0.0,10,42,0.18,split_position
IQR Speed Threshold,0.1067,0.1067,1.0,0.1928,0.0,0.0,15,42,0.1,split_position
RSU Position Verification,1.0,1.0,1.0,1.0,1.0,0.0,15,42,29.62,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,15,42,0.95,split_position
Random Forest,0.9992,0.9977,0.9932,0.9954,0.9998,0.0059,15,42,5.71,split_position
LSTM,0.8947,0.0,0.0,0.0,1.0,0.0,15,42,33.22,split_position
Dynamic k-Means,0.9293,0.6014,1.0,0.7511,0.9208,0.0,15,42,0.22,split_position
IQR Speed Threshold,0.1988,0.1988,1.0,0.3317,0.0,0.0,20,42,0.14,split_position
RSU Position Verification,0.9443,0.7812,1.0,0.8772,0.9305,0.0,20,42,27.89,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,20,42,3.08,split_position
Random Forest,0.9999,0.9995,1.0,0.9997,0.9999,0.0005,20,42,5.43,split_position
LSTM,0.5238,0.0,0.0,0.0,0.6471,0.0,20,42,37.68,split_position
Dynamic k-Means,0.8752,0.6143,1.0,0.7611,0.8442,0.0,20,42,0.17,split_position
IQR Speed Threshold,0.2282,0.2282,1.0,0.3716,0.0,0.0,25,42,0.12,split_position
RSU Position Verification,0.9806,0.9217,1.0,0.9592,0.9749,0.0,25,42,30.12,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,42,1.44,split_position
Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,25,42,6.36,split_position
LSTM,0.8182,0.6667,0.4,0.5,0.9412,0.0,25,42,44.07,split_position
Dynamic k-Means,0.9556,0.8604,0.9612,0.908,0.9539,0.0,25,42,0.16,split_position
IQR Speed Threshold,0.2834,0.2834,1.0,0.4416,0.0,0.0,30,42,0.08,split_position
RSU Position Verification,0.8993,0.9365,0.6916,0.7956,0.9815,0.0,30,42,20.76,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,42,0.97,split_position
Random Forest,0.9998,0.9994,1.0,0.9997,0.9997,0.0006,30,42,5.91,split_position
LSTM,0.7826,0.5556,0.8333,0.6667,0.7647,0.0,30,42,38.13,split_position
Dynamic k-Means,0.9991,0.9967,1.0,0.9984,0.9987,0.0,30,42,0.21,split_position
IQR Speed Threshold,0.3332,0.3332,1.0,0.4999,0.0,0.0,35,42,0.16,split_position
RSU Position Verification,0.8624,0.8218,0.7495,0.784,0.9188,0.0,35,42,27.73,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,42,1.54,split_position
Random Forest,0.9996,0.9987,1.0,0.9994,0.9993,0.0004,35,42,6.1,split_position
LSTM,0.88,0.7778,0.875,0.8235,0.8824,0.0,35,42,39.24,split_position
